iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp,physical_exposure,gdp_inverted,socio_vulnerability,CLVI,sp_score,protection_gap,CLVI_0.6_0.4,CLVI_0.4_0.6,CLVI_0.7_0.3
TKM,Turkmenistan,43.391087085209,56.608912914791,1.33,0.17,9.07,3.04,41.72,,,6856.65802730208,35.1,4.267,70.073,5.49789095,26.5,16.29,6.140000000000001,47.47,31.73,1.95,Upper middle income,Asia,Europe and Central Asia,408.0,,,,8.832975433983265,0.17041532985071367,0.9769365943683053,0.4155476949226316,0.29298151238667264,0.413,-0.12001848761332734,0.26846827587948086,0.3174947488938644,0.24395503937228902
TUV,Tuvalu,52.7207887263845,47.2792112736155,1.42,0.15,7.69,11.02,29.2,4.5,2019.0,6344.7750188689,9.0,,67.105,27.08968544,39.14,17.39,6.59,46.38,30.72,1.77,Upper middle income,Oceania,East Asia and the Pacific,,,,,8.755386921500751,0.14490079648604626,0.9787153122632611,0.40737361354754276,0.2761372050167945,0.045,0.23113720501679452,0.24988992331064486,0.30238448672294416,0.2236426416044952
UGA,Uganda,37.3901895666133,62.6098104333867,2.8,0.23,50.05,13.77,57.99,3.1,2022.0,1077.91278452817,59.8,2.746,68.252,4.23600149,42.75,15.98,6.15,49.81,34.21,2.14,Low income,Africa,Sub-Saharan Africa,,,,,6.982781843305585,0.40236862426439335,0.9970168810829895,0.5962074056729625,0.4992880149686779,0.031000000000000003,0.4682880149686779,0.47990413682782096,0.5186718931095349,0.460520258686964
UKR,Ukraine,52.4469037554889,47.5530962445111,4.02,0.48,18.78,42.11,48.11,73.0,2019.0,5389.47314453125,0.0,9.834,73.422,8.2027483,25.0,24.47,10.07,35.14,21.2,0.87,Lower middle income,Europe,Europe and Central Asia,288.0,,,,8.592202912285297,0.3475471014590982,0.9820348452639178,0.2641136252732971,0.3058303633661976,0.73,-0.42416963663380236,0.31417371098477775,0.29748701574761754,0.32251705860335783
ARE,United Arab Emirates,60.2123677346681,39.7876322653319,4.97,3.77,4.09,2.23,30.91,,,50273.5060469837,0.0,2.174,82.909,4.97095108,38.3,,,,,,High income,Asia,Middle East and North Africa,,,,,10.825233498574942,0.12584740028990696,0.8260694562861663,0.33255904194868907,0.22920322111929803,0.413,-0.18379677888070195,0.2085320569534198,0.24987438528517622,0.1878608927875416
GBR,United Kingdom,69.6633498227979,30.336650177202102,5.66,2.58,6.76,7.59,37.4,,,53246.3676145108,0.5,4.746,81.2380975609756,11.133358,34.07,20.1,7.6,40.9,25.9,1.29,High income,Europe,Europe and Central Asia,,,,,10.882684867433,0.17019943891089667,0.8157392011648392,0.29354356354230304,0.23187150122659986,0.413,-0.18112849877340012,0.21953708876345923,0.24420591368974048,0.20720267630031858
USA,United States,66.7646656881949,33.235334311805104,22.47,39.59,11.16,5.71,32.54,,,84534.0407841548,1.2,4.198,78.3853658536585,16.69414902,46.42,12.62,3.54,50.35,28.54,1.76,High income,Americas,North America,44211.0,,,,11.34490958173981,0.30525514625920946,0.7070191552920083,0.35923572398231285,0.33224543512076116,0.413,-0.08075456487923882,0.3268473773484508,0.3376434928930715,0.3214493195761405
URY,Uruguay,56.6101917875127,43.3898082124873,4.8,1.54,9.61,8.33,41.86,95.0,2021.0,23906.5133029408,0.2,7.516,78.138,9.01887608,39.4,16.6,6.1000000000000005,45.8,29.6,1.78,High income,Americas,Latin America and the Caribbean,,,,,10.081906223927517,0.1942748027641101,0.9176908640245406,0.3682421824483555,0.2812584926062328,0.9500000000000001,-0.6687415073937673,0.26386175463780825,0.2986552305746573,0.2464650166693837
UZB,Uzbekistan,53.453047141133,46.546952858867,1.52,0.18,10.26,10.92,18.86,56.0,2022.0,3161.70010632875,2.7,4.622,72.388,6.74312878,39.7,19.44,7.42,43.39,28.33,1.46,Lower middle income,Asia,Europe and Central Asia,132.0,,,,8.058865170238246,0.11620497878896377,0.9897760277287941,0.3832239984479595,0.24971448861846163,0.56,-0.3102855113815384,0.22301258665256207,0.2764163905843612,0.19631068468666246
VUT,Vanuatu,40.4779095188887,59.5220904811113,10.9,5.8,13.77,12.06,51.81,57.4,2019.0,3410.77023167097,19.5,5.073,71.477,4.1186676,37.63,17.88,6.74,44.81,29.4,1.64,Lower middle income,Oceania,East Asia and the Pacific,,,,,8.134693419162097,0.27231194109694334,0.9889105458086164,0.4268400970749,0.3495760190859217,0.574,-0.22442398091407828,0.334123203488126,0.36502883468371733,0.3186703878903303
VEN,"Venezuela, Bolivarian Republic o",40.9286455193994,59.0713544806006,23.47,19.52,25.04,14.6,61.45,,,4217.59102643391,9.7,5.307,72.514,3.77611423,37.8,17.3,6.2,44.1,28.3,1.64,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.347019397218371,0.4065322235517989,0.9861069626421032,0.3984217723230451,0.402476997937422,0.413,-0.010523002062578002,0.4032880430602974,0.40166595281454665,0.40409908818317275
VNM,Viet Nam,48.0753386042774,51.9246613957226,24.39,26.73,21.55,12.5,40.9,38.3,2022.0,4717.29028732449,1.6,1.523,74.588,4.56109476,42.4,14.65,4.81,48.09,27.12,1.44,Lower middle income,Asia,East Asia and the Pacific,,,,,8.458989822057342,0.341954576529528,0.9843705814714078,0.393847442758669,0.3679010096440985,0.383,-0.01509899035590151,0.3627117230211844,0.3730902962670126,0.35752243639827025
YEM,Yemen,35.3974998088243,64.6025001911757,24.39,9.12,60.26,69.29,66.5,7.0,2022.0,633.887202451545,33.3,17.322,69.295,9.69559193,36.71,18.76,7.29,44.7,29.43,1.57,Low income,Asia,Middle East and North Africa,,,,,6.45187102449435,0.672463116681151,0.9985598044378307,0.46160500730951937,0.5670340619953351,0.07,0.4970340619953351,0.5881198729324983,0.545948251058172,0.6092056838696615
ZMB,Zambia,42.5396759277341,57.4603240722659,2.94,0.28,34.17,13.91,61.36,30.3,2021.0,1187.10943350064,71.7,5.918,66.349,5.97841072,57.14,8.88,2.88,61.27,44.38,5.0,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.079276583705228,0.3608299662192134,0.9966374388463911,0.8245344553026975,0.5926822107609555,0.303,0.2896822107609555,0.5463117618526071,0.6390526596693039,0.49994131294425864
ZWE,Zimbabwe,36.1211205130407,63.8788794869593,2.52,0.2,31.54,14.88,68.08,16.4,2021.0,2497.20332208763,49.2,9.293,62.775,2.92601609,43.15,15.32,5.82,49.66,33.83,2.21,Lower middle income,Africa,Sub-Saharan Africa,1370.0,,,,7.822926713511721,0.3787344782796184,0.9920850559672743,0.5689272313051539,0.4738308547923862,0.16399999999999998,0.3098308547923862,0.45481157948983264,0.49285013009493966,0.435792304187279
