iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp
HUN,Hungary,57.0198235705571,42.9801764294429,0.94,0.11,5.33,9.22,10.36,89.0,2022.0,23292.3263882478,0.9,4.521,76.7707317073171,6.36868954,28.7,22.4,8.6,37.4,23.2,1.04,High income,Europe,Europe and Central Asia,1524.0,,,,10.055879245749429
ISL,Iceland,68.5619308981895,31.4380691018105,1.81,0.55,6.26,1.71,19.86,,,86040.5309851288,0.1,3.625,82.6073170731707,8.98358727,24.1,25.3,10.4,34.6,21.2,0.84,High income,Europe,Europe and Central Asia,,,,,11.3625737547379
IND,India,45.4558519863007,54.5441480136993,41.52,35.99,37.79,55.86,52.04,64.3,2025.0,2694.73780859961,5.3,4.219,72.003,3.33944035,29.0,19.6,8.1,44.7,29.9,1.53,Lower middle income,Asia,South Asia,,,,,7.899056190521106
IDN,Indonesia,48.3823456887259,51.6176543112741,43.5,39.89,45.46,50.59,46.38,54.3,2021.0,4925.43048751861,5.4,3.237,71.146,2.70239949,40.69,16.03,6.11,47.08,30.72,1.92,Lower middle income,Asia,East Asia and the Pacific,,,,,8.502166958419497
IRN,"Iran, Islamic Republic of",49.5626295715914,50.4373704284086,19.72,12.49,19.92,57.99,26.08,,,5190.16959024821,2.5,8.301,77.654,6.02542305,39.97,16.67,6.13,46.67,30.85,1.85,Upper middle income,Asia,Middle East and North Africa,,,,,8.554521651974477
IRQ,Iraq,43.2586975249766,56.7413024750234,9.23,1.72,36.65,66.59,49.85,41.7,2022.0,6073.61032342708,0.5,15.485,72.324,5.53275251,29.54,21.93,8.8,38.51,23.7,1.08,Upper middle income,Asia,Middle East and North Africa,,,,,8.711708488695376
IRL,Ireland,64.2468917867885,35.753108213211505,3.25,1.45,4.59,3.43,24.76,100.0,2022.0,112894.953240805,0.1,4.632,82.8609756097561,6.85410833,30.6,21.3,8.4,39.1,24.2,1.14,High income,Europe,Europe and Central Asia,,,,,11.634213047994296
ISR,Israel,61.7243465627677,38.2756534372323,3.93,0.88,11.13,16.37,29.77,100.0,2022.0,54176.6844383302,0.7,3.489,83.1951219512195,7.09822369,34.4,18.37,6.18,40.23,24.63,1.34,High income,Asia,Middle East and North Africa,,,,,10.900005918460748
ITA,Italy,59.7736980909756,40.2263019090244,9.97,8.69,7.96,5.25,35.77,88.8,2022.0,40385.3413957669,0.9,6.391,83.7,8.44437313,33.4,19.3,6.6000000000000005,40.0,25.1,1.3,High income,Europe,Europe and Central Asia,,,,,10.606222161369622
JAM,Jamaica,49.2431798635609,50.7568201364391,3.84,1.1,8.89,5.55,48.87,32.6,2022.0,7753.8006955432,1.4,3.286,71.479,7.60493946,37.48,17.62,6.5,44.84,29.32,1.66,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.955938414462723
JPN,Japan,65.8050728143673,34.19492718563269,20.86,43.67,11.43,5.09,16.97,94.6,2020.0,32487.0778047567,1.2,2.451,84.0412195121951,10.73979473,33.9,18.92,6.5,40.43,24.99,1.32,High income,Asia,East Asia and the Pacific,,,,,10.388597683244114
JOR,Jordan,52.3235477520054,47.6764522479946,3.65,0.57,13.73,19.98,46.26,28.8,2022.0,4618.09592498567,0.1,16.535,77.814,7.66000605,33.1,20.1,8.2,42.41,25.9,1.29,Upper middle income,Asia,Middle East and North Africa,9304.0,,,,8.437737761674814
KAZ,Kazakhstan,59.5741253231968,40.4258746768032,2.15,0.25,15.1,10.13,40.93,94.3,2023.0,14154.6324958076,0.0,4.771,74.402,3.76701546,27.45,23.36,9.8,37.44,22.98,0.98,Upper middle income,Asia,Europe and Central Asia,,,,,9.55779723435538
KEN,Kenya,40.2536977524334,59.7463022475666,13.71,3.27,58.22,57.81,56.55,9.0,2021.0,2132.43452097647,46.9,5.449,63.646,4.35172892,40.78,16.4,6.15,47.52,31.56,1.92,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.665019573607885
KIR,Kiribati,44.5256740585083,55.4743259414917,2.75,0.69,9.79,2.8,47.94,21.0,2019.0,2288.63471423684,6.1,,66.473,10.94525623,36.97,18.16,6.59,43.95,29.25,1.61,Lower middle income,Oceania,East Asia and the Pacific,,,,,7.735710724097179
PRK,"Korea, Democratic People's Repub",43.9605276828717,56.0394723171283,12.75,7.22,14.11,13.76,58.81,,,,,3.545,73.642,,,,,,,,,,,,,,,
KOR,"Korea, Republic of",68.5056828854251,31.494317114574898,10.84,9.96,8.71,8.04,23.43,,,36238.639908315,0.2,2.683,83.4292682926829,8.67656994,35.5,17.89,5.94,41.53,25.8,1.44,High income,Asia,East Asia and the Pacific,,,,,10.497881229328884
KWT,Kuwait,55.4030070099247,44.5969929900753,2.88,1.05,5.98,2.58,32.21,,,32717.7186631255,,2.181,83.1878048780488,4.96311998,36.02,16.59,5.93,44.89,26.0,1.38,High income,Asia,Middle East and North Africa,,,,,10.39567206527631
KGZ,Kyrgyzstan,54.1552434821698,45.8447565178302,2.42,0.22,33.53,11.08,50.27,,,2420.18542283831,2.7,3.526,72.2487804878049,4.50344467,27.34,23.59,9.9,37.45,23.28,0.99,Lower middle income,Asia,Europe and Central Asia,108.0,,,,7.791599437223058
