"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","note_classif.label"
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Unemployed receiving unemployment benefits","2020",0,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Unemployed receiving unemployment benefits","2020",0,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Unemployed receiving unemployment benefits","2020",0,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Unemployed receiving unemployment benefits","2019",0,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Vulnerable persons covered by social assistance","2019",5.1,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Unemployed receiving unemployment benefits","2019",0,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Unemployed receiving unemployment benefits","2019",0,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Vulnerable persons covered by social assistance","2017",5.5,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons above retirement age receiving a pension","2012",14.5,
"Angola","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons above retirement age receiving a pension","2000",8,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Population covered by at least one social protection benefit","2020",68.9,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons above retirement age receiving a pension","2020",66.1,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons with severe disabilities collecting disability social protection benefits","2020",34.1,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Employed covered in the event of work injury","2020",95.7,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Children/households receiving child/family cash benefits","2020",2.8,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Poor persons covered by social protection systems","2020",27.8,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Vulnerable persons covered by social assistance","2020",6.8,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Population covered by at least one social protection benefit","2020",60.1,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Persons above retirement age receiving a pension","2020",59.1,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Persons with severe disabilities collecting disability social protection benefits","2020",26.2,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Employed covered in the event of work injury","2020",82.8,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Population covered by at least one social protection benefit","2020",74.1,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Persons above retirement age receiving a pension","2020",72.7,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Persons with severe disabilities collecting disability social protection benefits","2020",41.7,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Mothers with newborns receiving maternity benefits","2020",100,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Employed covered in the event of work injury","2020",100,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Population covered by at least one social protection benefit","2019",57.7,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons above retirement age receiving a pension","2019",44.3,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons with severe disabilities collecting disability social protection benefits","2019",25.6,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Children/households receiving child/family cash benefits","2019",2,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Poor persons covered by social protection systems","2019",31,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Vulnerable persons covered by social assistance","2019",5.6,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Male","Contingency: Persons above retirement age receiving a pension","2019",41,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Persons above retirement age receiving a pension","2019",47.5,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Female","Contingency: Mothers with newborns receiving maternity benefits","2019",73.3,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons with severe disabilities collecting disability social protection benefits","2017",25.8,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons with severe disabilities collecting disability social protection benefits","2016",32.1,
"Anguilla","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons with severe disabilities collecting disability social protection benefits","2015",32.1,
"Albania","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Population covered by at least one social protection benefit","2021",78.1,
"Albania","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons above retirement age receiving a pension","2021",96.5,
"Albania","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Persons with severe disabilities collecting disability social protection benefits","2021",100,
"Albania","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Unemployed receiving unemployment benefits","2021",2.6,
"Albania","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Employed covered in the event of work injury","2021",40.7,"Social security coverage: Estimated based on legal coverage"
"Albania","ILO - Social Security Inquiry Database","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","Total","Contingency: Children/households receiving child/family cash benefits","2021",24.6,
